;;Mega;Luminus;Engie;Total Energie;Bolt;Luminus BXL;Total BXL;Eneco;Date
Prix injection;;0,0356;0,0411;0,02404;0,0200;0,0340;0,0461;0,0200;0,0619;sept-26
Prix énergie;;0,2026;0,1918;0,18695;0,1923;0,1961;0,2525;0,2092;0,2044;
Frais de distribution Resa;;0,1106;0,1106;0,1106;0,1106;0,1106;0,0996;0,0996;0,1106;
Frais de transport Resa;;0,0274;0,0274;0,0274;0,0274;0,0274;0,0227;0,0227;0,0274;
Frais de distribution terme fixe Resa;;26,50;26,50;26,50;26,50;26,50;14,73;14,73;26,50;
Redevance de raccordement;;0,00075;0,00075;0,00075;0,00075;0,00075;0;0;0,00075;
Accise spéciale;;0,04876;0,04876;0,04876;0,04876;0,04876;0,04876;0,04876;0,04876;
Cotisation sur l'énergie;;0,0;0;0,0;0;0;0;0;0;
Cotisation Verte (€/kWh);;0,03137;0,0303;0,03095;0,0332;0,0342;0,0269;0,0285;0,0322;
Tarif Prosumer Resa;;84,22;84,22;84,22;84,22;84,22;0;0;84,22;
Redevance fixe (€/an);;58,30;25,00;69,00;35,00;107,88;65,00;35,00;65,00;
Forfait panneaux solaires (€/kVA par mois);;8,30;0;0;0;0;0;0;0;
Forfait partage d'énergie (€/an);;90,75;150;121,00;0;0;0;0;124,63;
